"StudyID","Species","Taxon.group","Endo.Ecto","Trait.Name","Fitness.Measure.Defined","linear.coefs","linear.coefs.se","grad.diff","elevation","abs.Lat","Genus","family","order","class"
15,"Parus caeruleus","V","Endo","chick weight","survival (recruitment to the breeding population)",-0.030305075,0.16470774,"grad",593,42.55,"Parus","Paridae","Passeriformes","Ave"
158,"Parus major","V","Endo","adult body mass","survival to the next breeding season",-0.03,0.035,"grad",39,52.0833,"Parus","Paridae","Passeriformes","Ave"
79,"Phasianus colchicus","V","Endo","weight","male survival",-0.03,NA,"grad",17,55.7232,"Phasianus","Phasianidae","Galliformes","Ave"
79,"Phasianus colchicus","V","Endo","weight","male survival",-0.03,NA,"grad",17,55.7232,"Phasianus","Phasianidae","Galliformes","Ave"
75,"Salmo salar","V","Ecto","body length (immature + mature fish)","Age-1 summer survival",-0.03,NA,"grad",124,42.4167,"Salmo","Salmonidae","Salmoniformes","Actinopterygii"
75,"Salmo salar","V","Ecto","condition factor (immature fish)","Age-1 winter survival",-0.03,NA,"grad",124,42.4167,"Salmo","Salmonidae","Salmoniformes","Actinopterygii"
75,"Salmo salar","V","Ecto","condition factor (immature + mature fish)","Age-1 winter survival",-0.03,NA,"grad",124,42.4167,"Salmo","Salmonidae","Salmoniformes","Actinopterygii"
112,"Zosterops lateralis chlorocephalus","V","Endo","wing","survival",-0.03,0.06,"grad",-17,23.4333,"Zosterops","Zosteropidae","Passeriformes","Ave"
158,"Parus major","V","Endo","adult body mass","survival to the next breeding season",-0.029,0.03,"grad",39,52.0833,"Parus","Paridae","Passeriformes","Ave"
158,"Parus major","V","Endo","tarsus length","survival to the next breeding season",-0.028,0.068,"grad",10,51.641,"Parus","Paridae","Passeriformes","Ave"
158,"Parus major","V","Endo","tarsus length","survival to the next breeding season",-0.027,0.031,"grad",-2,53.2833,"Parus","Paridae","Passeriformes","Ave"
11,"Calopteryx splendens","I","Ecto","Thorax width","Minimum lifespan in field (a measure of survival), H_je «_Å population",-0.026438,NA,"grad",10,55.7,"Calopteryx","Calopterygidae","Odonata","Insecta"
158,"Parus major","V","Endo","tarsus length","survival to the next breeding season",-0.026,0.034,"grad",-2,53.2833,"Parus","Paridae","Passeriformes","Ave"
11,"Calopteryx splendens","I","Ecto","Thorax width","Minimum lifespan in field (a measure of survival), Klingav_ls_n population",-0.025323,NA,"grad",33,55.6333,"Calopteryx","Calopterygidae","Odonata","Insecta"
158,"Parus major","V","Endo","adult body mass","survival to the next breeding season",-0.025,0.054,"grad",-2,53.2833,"Parus","Paridae","Passeriformes","Ave"
144,"Carpodacus mexicanus","V","Endo","Beak Length","juvenile survival",-0.024,NA,"grad",971,46.8607,"Carpodacus","Fringillidae","Passeriformes","Ave"
144,"Carpodacus mexicanus","V","Endo","Beak Length","juvenile survival",-0.024,NA,"grad",971,46.8607,"Carpodacus","Fringillidae","Passeriformes","Ave"
158,"Parus major","V","Endo","tarsus length","survival to the next breeding season",-0.024,0.034,"grad",39,52.0833,"Parus","Paridae","Passeriformes","Ave"
158,"Parus major","V","Endo","tarsus length","survival to the next breeding season",-0.024,0.03,"grad",-2,53.2833,"Parus","Paridae","Passeriformes","Ave"
144,"Carpodacus mexicanus","V","Endo","Beak width","juvenile survival",-0.023,NA,"grad",971,46.8607,"Carpodacus","Fringillidae","Passeriformes","Ave"
158,"Parus major","V","Endo","tarsus length","survival to the next breeding season",-0.023,0.037,"grad",39,52.0833,"Parus","Paridae","Passeriformes","Ave"
